"id","animal_id","breed_id","percentage"
"1904089","21818455","953217","100.0"
"1905535","21905323","953217","100.0"
"1906591","20493553","953829","50.0"
"1906594","20493553","953202","50.0"
"1906597","20493550","953202","50.0"
"1906600","20493550","953829","50.0"
"1906603","20493472","953829","50.0"
"1906606","20493472","953202","50.0"
"1961521","22160740","953217","100.0"
"1961530","22160830","1114888","100.0"
"1961581","22161166","1114888","100.0"
"1961587","22161205","1114888","100.0"
"1961728","22173322","1114888","93.75"
"1965452","22294328","953223","100.0"
"1965455","20493667","953211","100.0"
"1965458","19610898","953211","100.0"
"1966490","21818383","953217","100.0"
"1966493","21819886","953217","100.0"
"1966496","21819703","953217","100.0"
"1966499","21819835","953217","100.0"
"1966502","21819736","953217","100.0"
"1966505","21818449","953217","100.0"
"1966508","22323179","953217","100.0"
"1966511","21819772","953217","100.0"
"1966514","22325273","953217","100.0"
"1966517","22325366","953217","100.0"
"1966523","22327538","953217","100.0"
"1966526","22327544","953217","0.75"
"1966532","22327562","953217","100.0"
"1966553","21888781","953217","100.0"
"1966556","21888784","953217","100.0"
"1966562","22323188","953217","100.0"
"1966565","22323212","953217","100.0"
"1966568","21905314","953217","100.0"
"1966571","21905320","953217","100.0"
"1966574","19610922","953211","100.0"
"1966577","19692244","953211","100.0"
"1966922","22371650","953217","100.0"
"1966925","22371653","953217","100.0"
"1966928","22371692","953217","100.0"
"1966931","22371695","953217","87.5"
"1985951","22741778","953217","100.0"
"1985954","22741802","953217","100.0"
"1985957","22741808","953217","100.0"
"1985960","22741982","953217","75.0"
"1986950","22133515","953217","100.0"
"2024310","21818413","953217","100.0"
"2024313","21819877","953217","100.0"
"2024316","21819760","953217","100.0"
"2024319","21819781","953217","100.0"
"2024322","21888790","953217","100.0"
"2143851","24513137","953211","100.0"
"2145270","24513140","953211","100.0"
"2145273","24513143","953211","100.0"
"2145276","24513146","953211","100.0"
"2145279","24513149","953211","100.0"
"2145282","24513152","953211","100.0"
"2145285","24513155","953211","100.0"
"2145288","24513158","953211","100.0"
"2145291","24513161","953211","100.0"
"2145294","24513164","953211","100.0"
"2145297","24513167","953211","100.0"
"2145300","24513170","953211","100.0"
"2145303","24513173","953211","100.0"
"2145306","24513176","953211","100.0"
"2145309","24513179","953211","100.0"
"2145312","24513182","953211","100.0"
"2145315","24513185","953211","100.0"
"2145318","24513188","953211","100.0"
"2145321","24513191","953211","100.0"
"2145324","24513194","953211","100.0"
"2145327","24513119","953211","100.0"
"2145330","24513122","953211","100.0"
"2145333","24513122","953211","100.0"
"2145336","24513125","953211","100.0"
"2145339","24513128","953211","100.0"
"2145342","24513131","953211","100.0"
"2145345","24513134","953211","100.0"
"2145369","25315314","953217","100.0"
"2146676","25382777","953217","100.0"
"2146679","25384562","953217","100.0"
"2153876","25578131","953217","100.0"
"2154017","25656836","953217","100.0"
"2173316","25873070","953217","100.0"
"2324805","28079199","953217","100.0"
"2324808","28079205","953217","93.75"
"2324811","28079217","953217","100.0"
"2324814","28079220","953217","93.75"
"2324817","28079223","953217","100.0"
"2324820","28079226","953217","100.0"
"2324823","28079229","953217","100.0"
"2324826","28165191","953217","100.0"
"2379087","29128011","953217","100.0"
"2386740","29525460","953217","100.0"
"2386743","29525565","953217","100.0"
"2386746","22325279","953217","100.0"
"2386749","29525619","953217","100.0"
"2406645","29366970","953217","0.875"
"2406648","23204553","958480","0.875"
"2406768","28079232","953217","100.0"
"2421930","30727143","953217","87.5"
"2421933","23767167","953217","100.0"
"2421936","30727194","953217","75.0"
"2421939","22845128","953217","100.0"
"2429031","25689146","953217","100.0"
"2429034","25760039","953217","100.0"
"2429037","25315326","953217","100.0"
"2429040","30928164","953217","100.0"
"2429043","30928236","953217","100.0"
"2429046","24487511","953217","100.0"
"2430180","22327556","953217","100.0"
"2430186","30943320","953217","100.0"
"2430189","30943509","953217","93.75"
"2431095","28170945","953217","100.0"
"2431098","30958194","953217","100.0"
"2431101","30958197","953217",""
"2431116","30966807","953217","100.0"
"2431119","30966840","953217","100.0"
"2431122","30966828","953217","100.0"
"2431128","30966927","953217","93.75"
"2431131","30966912","953217","100.0"
"2431134","30966954","953217","100.0"
"2431137","30966957","953217","100.0"
"2432691","24289280","953217","100.0"
"2434251","28079175","953217","100.0"
"2434254","31159467","953217","100.0"
"2434257","31160109","953217","100.0"
"2436951","31252125","953217","100.0"
"2436954","31252128","953217","100.0"
"2436957","31252140","953217","100.0"
"2438202","28079202","953217","100.0"
"2438205","28079214","953217","100.0"
"2438340","28079130","953217","100.0"
"2438343","28079166","953217","93.75"
"2438346","28079160","953217","100.0"
"2438358","28079190","953217","100.0"
"2438361","31318344","953217","100.0"
"2438364","31318335","953217","100.0"
"2438367","23767122","953217","100.0"
"2438370","23767125","953217","100.0"
"2479587","32349843","953208","100.0"
"2481516","32656242","953208","50.0"
"2481519","32656242","953223","50.0"
"2481996","32859621","953217","100.0"
"2564577","33721653","953217","50.0"
"2564580","33721659","953217","50.0"
"2565195","33826365","953217","50.0"
"2565198","33826305","953217","50.0"
"2565234","33853083","953217","50.0"
"2565240","33853209","953217","50.0"
"2565243","33853374","953217","50.0"
"2565246","33853713","953217","50.0"
"2565366","33894531","953217","100.0"
"2565870","33915591","953217","50.0"
"2565873","33915615","953217","50.0"
"2566032","33934230","953217","50.0"
"2567676","33953046","953217","50.0"
"2567679","33953055","953217","50.0"
"2574318","33962808","953217","50.0"
"2574321","33962808","953208","25.0"
"2574324","33962808","953202","25.0"
"2574618","33969663","953217","50.0"
"2574621","33969669","953217","100.0"
"2574624","33969693","953223","50.0"
"2574627","33969699","953217","50.0"
"2574729","33972720","953217","50.0"
"2574732","33975204","953217","100.0"
"2574735","33975207","953217","50.0"
"2574738","33975210","953217","50.0"
"2574741","33975222","953217","100.0"
"2574744","33975234","953217","50.0"
"2574756","33981759","953217","50.0"
"2574759","33981768","953217","50.0"
"2574762","33981783","953202","50.0"
"2574765","33981801","953217","50.0"
"2574768","33982245","953217","50.0"
"2574777","33993837","953202","50.0"
"2574888","34018748","953217","50.0"
"2574929","34028264","953217","50.0"
"2574932","34028309","953217","100.0"
"2574935","33852831","953217","50.0"
"2574938","33655617","953223","50.0"
"2574941","33853479","953223","50.0"
"2574944","33916884","953217","50.0"
"2574947","33916884","953208","25.0"
"2574950","33916884","953202","25.0"
"2574953","33962832","953217","50.0"
"2574956","33962832","953202","25.0"
"2574959","33962832","953208","25.0"
"2574962","34017444","953202","50.0"
"2574965","34017444","953217","50.0"
"2574968","33705156","953217","100.0"
"2574971","33737382","953217","100.0"
"2574974","33981783","953217","50.0"
"2574977","33993837","953217","50.0"
"2575046","34039043","953217","50.0"
"2575049","34039043","953202","50.0"
"2575052","34039091","953217","50.0"
"2575055","34039139","953217","50.0"
"2575898","34048484","953217","50.0"
"2578454","34109840","953223","50.0"
"2578466","34121774","953217","50.0"
"2578469","34039061","953217","50.0"
"2578472","34121777","953217","50.0"
"2578475","34121780","953217","100.0"
"2578478","34121783","953217","100.0"
"2579405","34136495","953217","50.0"
"2591198","34152590","953217","50.0"
"2591267","34185194","953217","50.0"
"2591270","34185194","953202","50.0"
"2591273","34185230","953217","50.0"
"2591276","34185239","953217","50.0"
"2591279","34185239","953202","50.0"
"2591291","34187423","953217","50.0"
"2591294","34187441","953217","50.0"
"2626841","34314986","953217","50.0"
"2626844","34314986","953202","50.0"
"2626847","34315016","953217","50.0"
"2626850","34315016","953202","50.0"
"2626853","34315034","953217","50.0"
"2626856","34185221","953217","50.0"
"2626859","34185260","953217","50.0"
"2628089","34441751","953217","50.0"
"2628092","34442213","953211","25.0"
"2628095","34442261","953217","50.0"
"2628098","34442261","953202","50.0"
"2628101","34442507","953217","50.0"
"2628104","34442507","953202","50.0"
"2628107","34442522","958480","50.0"
"2628110","34442522","953217","50.0"
"2628113","34442531","953211","50.0"
"2628116","34442531","953217","50.0"
"2628119","34442540","953211","50.0"
"2628122","34442540","953217","50.0"
"2628125","34442552","953211","50.0"
"2628128","34442552","953217","50.0"
"2628131","34442555","958480","50.0"
"2628134","34442555","953223","50.0"
"2628137","34442567","958480","25.0"
"2628140","34442567","953202","75.0"
"2628143","34442576","953211","50.0"
"2628146","34442576","953217","50.0"
"2628149","34442213","953202","50.0"
"2628152","34442213","953223","25.0"
"2628155","34442642","953211","50.0"
"2628158","34442642","953217","50.0"
"2628362","34465559","953217","50.0"
"2628803","34496306","953217","50.0"
"2638028","34545743","953202","50.0"
"2638031","34545743","953217","50.0"
"2638034","34545785","953202","75.0"
"2638037","34545785","953211","25.0"
"2638046","34545833","953217","50.0"
"2638049","34545833","953211","50.0"
"2638052","34545869","953217","50.0"
"2638055","34545869","958480","50.0"
"2638058","34545908","953211","50.0"
"2638061","34545908","953217","50.0"
"2638064","34545932","958480","50.0"
"2638067","34545932","953217","50.0"
"2638070","34545956","953217","100.0"
"2638073","34496315","958480","50.0"
"2638076","34496315","953217","50.0"
"2659530","34889670","953217","50.0"
"2659533","34889670","953202","50.0"
"2659536","34889676","958480","50.0"
"2659539","34889676","953202","50.0"
"2659542","34889688","953211","50.0"
"2659545","34889688","953217","50.0"
"2659548","34889700","953217","50.0"
"2659551","34889700","953217","50.0"
"2659554","34889736","958480","50.0"
"2659557","34889736","953217","50.0"
"2659560","34889742","953217","50.0"
"2659563","34889742","958480","50.0"
"2659566","34889751","958480","50.0"
"2659569","34889751","953217","50.0"
"2659578","34889775","953217","50.0"
"2659581","34889775","953202","50.0"
"2660508","29366967","953217","100.0"
"2660886","34999098","953217","50.0"
"2660889","34999098","958480","50.0"
"2660892","34999137","953217","50.0"
"2660895","34999137","953202","50.0"
"2660898","34999164","953217","50.0"
"2660901","34999164","958480","50.0"
"2661105","35035059","953217","50.0"
"2661108","35035059","958480","50.0"
"2666706","35252868","953217","50.0"
"2666709","35252868","953202","50.0"
"2754561","36446397","953217","50.0"
"2754930","36499026","953217","50.0"
"2755269","36522072","953217","50.0"
"2755347","36525819","953208","100.0"
"2756178","36637479","953217","50.0"
"2756181","36637479","953208","50.0"
"2756598","36706923","953202","50.0"
"2756601","36706944","953202","50.0"
"2756604","36706992","953217","100.0"
"2837106","61991583","953217","100.0"
"2843565","62148528","953217","50.0"
"2843568","34121786","953217","50.0"
"2843571","62148537","953217","100.0"
"2843574","62148546","953217","50.0"
"2843577","62148558","953217","50.0"
"2843580","62158695","953217","100.0"
"2851590","62202498","953217","100.0"
"2851620","62218500","953217","50.0"
"2851623","62218686","953202","50.0"
"2852217","62240238","953217","100.0"
"2852232","62241069","953217","100.0"
"2855181","62285220","953217","100.0"
"2855184","62285241","953217","50.0"
"2856045","62361207","953217","50.0"
"2856048","62361204","953217","50.0"
"2856051","62361213","953217","50.0"
"2856054","62361216","953217","100.0"
"2856057","62361225","953217","50.0"
"2856060","62361228","953217","50.0"
"2869383","62806815","953217","100.0"
"2932622","63365447","953217","100.0"
"2932625","63365456","953217","50.0"
"2946578","63415760","953217","100.0"
"2946581","63415769","953217","100.0"
"2946584","63415772","953217","100.0"
"2946587","63415787","953217","50.0"
"2946590","63415805","953217","50.0"
"2946593","63415805","953208","50.0"
"2946596","63415814","953217","100.0"
"2946599","63415817","953217","50.0"
"2946602","63415820","953217","100.0"
"2946605","63415826","953208","50.0"
"2946608","63415826","953217","50.0"
"2946611","63415850","953217","50.0"
"2946614","63415859","953217","50.0"
"2946617","63415865","953217","100.0"
"2946620","63415898","953217","50.0"
"2946623","63415904","953217","50.0"
"2946626","63415910","953217","50.0"
"2946629","63415913","953217","100.0"
"2946632","63415916","953217","100.0"
"2946635","63415919","953217","50.0"
"2946638","63415922","953217","50.0"
"2946641","63415928","953217","50.0"
"2946644","63415934","953217","50.0"
"2946647","63415940","953217","50.0"
"2946650","63415946","953217","50.0"
"2946653","63415949","953217","100.0"
"2946656","63415952","953208","50.0"
"2946659","63415952","953217","50.0"
