"id","account_id","legacy_id","invoice","sold_to_contact_id","marketing_method","sale_date","gross_total_value","total_marketing_expense","net_total_value","comments","needs_recalculating","last_animals_count","animals_count","created_at","updated_at"
"691040","48210","","95878","1428674","Auction","2014-07-15","15602.1","687.93","14914.17","","false","13","13","2014-07-15 11:23:15 -0500","2014-07-15 18:14:13 -0500"
"704336","48210","","96284","1428674","Auction","2014-08-12","1754.6","76.15","1678.45","Sold Angus Bull","false","1","1","2014-09-04 08:05:56 -0500","2014-09-04 08:12:01 -0500"
"713007","48210","","97257","1428674","Auction","2014-09-30","8480.93","372.06","8108.87","","false","6","6","2014-10-01 19:42:59 -0500","2014-10-02 09:50:54 -0500"
"762785","48210","","98642","1428674","Auction","2014-12-02","12482.01","561.51","11920.5","Mainly culls and 1st heifer calves (i.e., not best quality)","false","10","10","2014-12-02 16:46:50 -0600","2014-12-02 17:21:46 -0600"
"786005","48210","","99514","1428674","Auction","2015-01-27","1870.91","90.73","1780.18","","false","3","3","2015-01-28 14:52:41 -0600","2015-01-28 14:56:18 -0600"
"856423","48210","","102297","1428674","Auction","2015-07-28","2353.74","106.39","2247.35","","false","2","2","2015-07-28 16:08:43 -0500","2015-07-28 16:21:16 -0500"
"870876","48210","","1730313","1712046","Auction","2015-09-02","1134.0","53.43","1080.57","","false","1","1","2015-09-09 10:35:41 -0500","2015-09-09 10:39:39 -0500"
"922701","48210","","","1782288","Private Treaty","2016-01-20","5200.0","0.0","5200.0","Roping Calves - 1st calf heifers","false","13","13","2016-01-20 17:37:36 -0600","2016-01-20 17:37:36 -0600"
"926022","48210","","","1787334","Private Treaty","2016-02-01","2000.0","0.0","2000.0","","false","1","1","2016-02-02 10:06:57 -0600","2016-02-02 10:06:57 -0600"
"948675","48210","","","1782288","Private Treaty","2016-02-16","1275.0","0.0","1275.0","Roping Calves - 1st calf heifers","false","5","5","2016-03-10 06:15:26 -0600","2016-03-10 06:15:26 -0600"
"948678","48210","","105833","1428674","Auction","2016-02-16","874.0","44.97","829.03","1st calf heifers","false","2","2","2016-03-10 06:18:14 -0600","2016-03-10 06:29:28 -0600"
"964401","48210","","276910","1836963","Auction","2016-04-23","3150.2","142.55","3007.65","","false","4","4","2016-04-23 12:10:40 -0500","2016-04-27 14:46:09 -0500"
"966390","48210","","105","1709191","Private Treaty","2016-04-27","3500.0","0.0","3500.0","","false","1","1","2016-04-28 15:18:01 -0500","2016-04-28 15:18:01 -0500"
"972207","48210","","Check 2889","1844472","Private Treaty","2016-05-15","1500.0","0.0","1500.0","Picked up at bull pens","false","1","1","2016-05-15 09:54:06 -0500","2017-01-08 09:25:13 -0600"
"976398","48210","","129991","1849167","Auction","2016-05-23","384.0","20.8","363.2","","false","3","3","2016-05-26 11:50:52 -0500","2016-05-26 11:56:52 -0500"
"976401","48210","","Cash","1851828","Private Treaty","2016-05-23","1245.0","0.0","1245.0","roping calves","false","3","3","2016-05-26 11:58:26 -0500","2016-06-01 16:26:57 -0500"
"979425","48210","","8073","1851921","Private Treaty","2016-06-03","7500.0","0.0","7500.0","","false","2","2","2016-06-02 07:39:14 -0500","2016-06-03 15:44:17 -0500"
"995664","48210","","","1488881","Private Treaty","2016-07-06","4500.0","0.0","4500.0","","false","2","2","2016-07-31 15:32:02 -0500","2016-07-31 15:32:02 -0500"
"998466","48210","","108079","1428674","Auction","2016-08-02","809.75","42.3","767.45","","false","2","2","2016-08-11 11:27:32 -0500","2016-08-11 11:36:04 -0500"
"1003383","48210","","1107","1879194","Private Treaty","2016-08-29","2500.0","0.0","2500.0","","false","1","1","2016-08-30 06:54:41 -0500","2016-08-30 06:54:41 -0500"
"1024164","48210","","109451","1428674","Auction","2016-11-01","4044.25","278.84","3765.41","Hillje cow culls and calves","false","10","10","2016-11-01 15:36:13 -0500","2016-11-01 15:59:39 -0500"
"1024179","48210","","109458","1428674","Auction","2016-11-01","1669.3","77.97","1591.33","Culled bulls","false","2","2","2016-11-01 15:53:43 -0500","2016-11-01 15:57:43 -0500"
"1027566","48210","","","1909377","Private Treaty","2016-11-11","0.0","0.0","0.0","","false","19","19","2016-11-11 09:43:04 -0600","2016-11-11 09:43:04 -0600"
"1029879","48210","","","1912401","Private Treaty","2016-11-15","8000.0","0.0","8000.0","","false","2","2","2016-11-15 17:58:39 -0600","2016-11-15 17:58:39 -0600"
"1034598","48210","","109968","1428674","Auction","2016-11-29","5988.7","287.68","5701.02","","false","12","12","2016-11-28 17:30:16 -0600","2017-01-08 09:23:22 -0600"
"1037964","48210","","110175","1428674","Auction","2016-12-06","6746.5","353.93","6392.57","","false","17","17","2016-12-06 14:32:58 -0600","2016-12-06 14:53:20 -0600"
"1037976","48210","","10300","1782288","Private Treaty","2016-12-06","2280.0","0.0","2280.0","","false","8","8","2016-12-06 14:58:56 -0600","2016-12-06 14:58:56 -0600"
"1042626","48210","","110519","1428674","Auction","2016-12-20","2495.75","120.97","2374.78","","false","4","4","2016-12-19 18:19:56 -0600","2016-12-23 08:34:39 -0600"
"1051848","48210","","110772","1428674","Auction","2017-01-10","5347.35","252.36","5094.99","","false","6","6","2017-01-11 09:54:55 -0600","2017-01-11 10:02:25 -0600"
"1094778","48210","","","1712046","Auction","2017-04-25","2534.95","135.51","2399.44","","false","5","5","2017-05-02 17:51:29 -0500","2017-05-02 18:06:18 -0500"
"1139106","48210","","Spring Cull","2046681","","","","","","","false","","0","2017-09-19 06:49:51 -0500","2017-09-19 06:49:51 -0500"
"1151889","48210","","","2058141","Private Treaty","2017-10-13","4500.0","0.0","4500.0","","false","2","2","2017-10-24 12:50:31 -0500","2017-10-24 12:50:31 -0500"
"1172502","48210","","Craig Radley","2077905","Private Treaty","2017-11-29","9300.0","0.0","9300.0","","false","4","4","2017-12-08 06:55:53 -0600","2017-12-08 06:55:53 -0600"
"1189821","48210","","Unknown","","","2018-01-01","","","","","false","","0","2018-01-24 09:18:59 -0600","2018-01-24 09:18:59 -0600"
"1189848","48210","","126734","1428674","Auction","2018-01-23","1601.0","85.38","1515.62","","false","4","4","2018-01-24 09:44:41 -0600","2018-01-26 11:56:13 -0600"
"1196433","48210","","126901","1428674","Auction","2018-02-06","","","","","false","","0","2018-02-08 09:59:24 -0600","2018-02-08 09:59:24 -0600"
"1228088","48210","","127806","1428674","Auction","2018-04-17","2133.25","101.58","2031.67","","false","3","3","2018-04-23 09:49:43 -0500","2018-04-23 09:56:50 -0500"
"1228367","48210","","196674","1712046","Auction","2018-04-18","2828.55","0.0","2828.55","","false","6","6","2018-04-23 16:53:23 -0500","2018-04-23 16:53:23 -0500"
